                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                 1.7994,                 2.0972,                 1.3374,                 1.2764,                 0.4594,                0.45597,                0.40466,                 0.1567,                 0.4314,                0.40586,                0.35125,                0.09511,                  2.128,                 2.9278,                 1.6005,                  1.431,               0.002278,               0.002278,               0.002278
                     41,                 1.7478,                 2.0375,                 1.3096,                 1.2628,                0.50935,                0.42265,                0.41442,                0.15741,                0.45299,                 0.3731,                0.34432,                 0.0906,                 2.1337,                 3.0174,                 1.6698,                 1.4499,                0.00208,                0.00208,                0.00208
                     42,                 1.7427,                 2.0462,                 1.2961,                 1.2576,                0.51277,                0.45406,                0.44396,                0.17037,                0.42765,                0.41454,                0.36469,                0.09818,                  2.155,                 3.0993,                 1.5703,                  1.428,               0.001882,               0.001882,               0.001882
                     43,                 1.7229,                 2.0182,                 1.2551,                 1.2389,                0.44808,                0.49994,                0.42752,                0.16133,                0.39395,                0.40706,                0.33509,                 0.0868,                 2.1519,                 3.1347,                 1.6128,                 1.4321,               0.001684,               0.001684,               0.001684
                     44,                 1.7117,                 2.0229,                 1.2552,                 1.2427,                0.46102,                0.44255,                 0.4315,                0.16315,                0.51652,                0.40458,                0.37409,                0.10074,                 2.0838,                 2.9339,                 1.5712,                 1.4125,               0.001486,               0.001486,               0.001486
                     45,                 1.6797,                 1.9688,                 1.2269,                 1.2245,                0.50132,                0.46139,                0.42416,                  0.166,                0.45184,                0.39031,                0.34091,                0.09438,                  2.134,                 3.1513,                 1.5798,                 1.4247,               0.001288,               0.001288,               0.001288
                     46,                 1.6855,                 1.9703,                   1.21,                 1.2253,                0.51551,                0.45414,                0.43659,                 0.1674,                0.49694,                0.39307,                0.36315,                0.09626,                   2.09,                 3.2633,                 1.5332,                   1.42,                0.00109,                0.00109,                0.00109
                     47,                 1.6599,                 1.9642,                 1.1778,                 1.2133,                0.50315,                0.44914,                0.43658,                0.17096,                0.46768,                0.43516,                0.37666,                0.10352,                 2.1173,                   3.06,                 1.5839,                 1.4222,               0.000892,               0.000892,               0.000892
                     48,                 1.6551,                 1.9445,                 1.1671,                 1.2019,                0.52437,                 0.4383,                0.43782,                 0.1686,                0.45443,                0.43541,                0.36675,                0.09992,                 2.1134,                 3.0403,                 1.5699,                 1.4223,               0.000694,               0.000694,               0.000694
                     49,                  1.633,                  1.928,                  1.158,                 1.2005,                0.57619,                0.42067,                0.44777,                0.17547,                0.52804,                0.37707,                0.36648,                0.09678,                 2.1133,                 3.0728,                 1.5476,                 1.4127,               0.000496,               0.000496,               0.000496
